"numeracy_name","numeracy_col","numeracy_type","n_obs_risk","n_obs_benefit","Risk_int_Safe_est","Risk_int_Safe_p","Risk_int_Eff_est","Risk_int_Eff_p","Risk_AIC","Risk_BIC","Risk_logLik","Risk_R2_marginal","Risk_R2_conditional","Benefit_int_Safe_est","Benefit_int_Safe_p","Benefit_int_Eff_est","Benefit_int_Eff_p","Benefit_AIC","Benefit_BIC","Benefit_logLik","Benefit_R2_marginal","Benefit_R2_conditional","best_p"
"mean_cliticalThinking_attitude","mean_cliticalThinking_attitude","continuous(centered)",440,440,-0.0340988453384128,0.308688249397289,-0.0249274534961571,0.419348269711222,1068.26839199352,1105.04936453573,-525.134195996759,NA,NA,-0.0201027470547489,0.546259463396929,0.0666475894980994,0.0326389535587487,1086.26514970191,1123.04612224412,-534.132574850956,NA,NA,0.0326389535587487
"mean_subjective_numeracy","mean_subjective_numeracy","continuous(centered)",440,440,-0.024611318013823,0.23530703652039,-0.0145112257630693,0.472642425583853,1073.74040228696,1110.52137482917,-527.87020114348,NA,NA,0.0327804258502115,0.125465571900139,0.026734588925558,0.19813161721853,1087.36155423849,1124.1425267807,-534.680777119244,NA,NA,0.125465571900139
"health_correct_count","health_correct_count","continuous(centered)",440,440,-0.0243696693253973,0.347773870386128,-0.00144853609028503,0.956845527263263,1075.66905675979,1112.450029302,-528.834528379896,NA,NA,0.0241905542612755,0.382486846977263,-0.0347820792609381,0.178093256976548,1092.00384801334,1128.78482055555,-537.001924006668,NA,NA,0.178093256976548
"berlin_correct_count","berlin_correct_count","continuous(centered)",440,440,-0.0371213591115471,0.1262835738285,0.0179292486068384,0.461400806546489,1068.24125788785,1105.02223043006,-525.120628943924,NA,NA,0.0302508112406826,0.237767057062483,-0.0117403402349568,0.629718459829791,1092.51651316256,1129.29748570477,-537.258256581282,NA,NA,0.237767057062483
"numAttitude_average","numAttitude_average","continuous(centered)",440,440,-0.0208489203346771,0.62692342071803,-0.00617939811267315,0.889205966640692,1073.71217904963,1110.49315159184,-527.856089524817,NA,NA,-0.0267697968999421,0.567706119523908,0.0280662499122665,0.499437632433587,1088.64312100767,1125.42409354988,-535.321560503836,NA,NA,0.499437632433587
"berlin_oneItem","berlin_oneItem","categorical(0/1)",440,440,0.0230180308912373,0.684958443393578,NA,NA,1068.49519350817,1105.27616605038,-525.247596754087,NA,NA,-0.0263890141027679,0.656356123522801,NA,NA,1088.75093040299,1125.5319029452,-535.375465201496,NA,NA,0.656356123522801
